Date,Price,Open,High,Low,Vol.,Change %
2015-10-30,206.93,210.4,211.63,203.89,4.44M,-0.02220
2015-10-29,211.63,211.75,213.75,210.64,1.81M,-0.00620
2015-10-28,212.96,211.31,213.45,208.3,2.73M,0.01240
2015-10-27,210.35,214.84,217.1,207.51,3.52M,-0.02280
2015-10-26,215.26,211.38,215.88,210,3.39M,0.02950
2015-10-23,209.09,215,215.35,207.69,4.24M,-0.01240
2015-10-22,211.72,211.56,215.75,209.4,2.83M,0.00780
2015-10-21,210.09,211.99,214.81,208.8,4.18M,-0.01380
2015-10-20,213.03,227.72,228.6,202,14.90M,-0.06610
2015-10-19,228.1,226.5,231.15,224.94,2.51M,0.00480
2015-10-16,227.01,223.04,230.48,222.87,4.33M,0.02580
2015-10-15,221.31,216.43,221.73,213.7,2.84M,0.02040
2015-10-14,216.88,220.67,220.95,215.43,3.10M,-0.01080
2015-10-13,219.25,213.28,222.52,211.13,5.17M,0.01700
2015-10-12,215.58,222.99,223,215.27,3.84M,-0.02320
2015-10-09,220.69,220.93,224.37,218.36,6.16M,-0.02660
2015-10-08,226.72,230.08,230.72,221.31,6.13M,-0.02260
2015-10-07,231.96,236.63,237.7,229.12,6.81M,-0.03930
2015-10-06,241.46,240,243.03,235.58,5.24M,-0.01910
2015-10-05,246.15,248.84,249.84,244.13,3.69M,-0.00570
2015-10-02,247.57,235.6,247.7,234.93,4.42M,0.03210
2015-10-01,239.88,247.51,248.5,237.13,4.57M,-0.03430
2015-09-30,248.4,252,252.4,242.34,4.93M,0.00710
2015-09-29,246.65,250.46,254.73,245.46,3.70M,-0.00720
2015-09-28,248.43,257.35,259.79,246.61,4.90M,-0.03300
2015-09-25,256.91,266.61,266.91,256.15,3.77M,-0.02360
2015-09-24,263.12,259.53,263.45,256.21,3.45M,0.00790
2015-09-23,261.06,261.95,262.08,257.58,2.60M,0.00050
2015-09-22,260.94,259.03,262.65,255.87,3.66M,-0.01230
2015-09-21,264.2,263.98,271.57,255.8,6.12M,0.01370
2015-09-18,260.62,257.96,263.82,257.5,3.76M,-0.00550
2015-09-17,262.07,263.96,265.5,260.69,3.59M,-0.00070
2015-09-16,262.25,253.04,262.88,252.88,4.42M,0.03420
2015-09-15,253.57,252.75,254.6,249.5,2.93M,0.00150
2015-09-14,253.19,251.1,254.25,249.67,2.89M,0.01180
2015-09-11,250.24,247.64,250.24,244.73,2.35M,0.00710
2015-09-10,248.48,247.23,250.72,245.33,2.71M,-0.00170
2015-09-09,248.91,252.05,254.25,248.3,3.39M,0.00300
2015-09-08,248.17,245.05,249.16,244.05,3.14M,0.02580
